0, 0, 0, 0, 0, 521, 0, 0, 499, 493, 499, 493, 495, 996, 992, 1490, 989, 1486, 1492, 1978, 1985, 2481, 1985, 2481, 2507, 2977, 3527, 3473, 3499, 3991, 4488, 4492, 4960, 5456, 5457, 5487, 5979, 6455, 6912, 6974, 7439, 7538, 8431, 8929, 9424, 9672, 9922, 10445, 10912, 10974, 0, 
0, 0, 82, 682, 830, 662, 1231, 1662, 1913, 2625, 2894, 3409, 4207, 4992, 5618, 6500, 7506, 8021, 8837, 9846, 10673, 12106, 13204, 14103, 15282, 17021, 17994, 19351, 20704, 22142, 23811, 25438, 26797, 28829, 30040, 32170, 33695, 35829, 37614, 39370, 41211, 43104, 45136, 47343, 49576, 51526, 53832, 56470, 59812, 61452, 0, 
0, 0, 556, 651, 993, 1124, 1804, 2863, 3582, 3964, 5194, 5742, 7083, 7816, 8860, 10654, 12169, 13563, 14796, 16645, 20387, 22405, 22156, 24446, 28931, 32998, 34543, 33874, 37649, 39014, 42438, 46286, 49625, 53253, 54671, 58175, 63126, 64648, 68209, 71788, 77084, 79647, 84439, 88700, 92515, 95812, 102015, 103479, 110386, 112074, 0, 
0, 0, 0, 55, 0, 0, 124, 99, 99, 124, 248, 558, 99, 558, 124, 127, 104, 98, 178, 185, 323, 185, 329, 194, 683, 649, 400, 406, 664, 691, 409, 673, 421, 425, 409, 511, 430, 473, 509, 529, 864, 879, 1012, 1011, 1078, 1105, 918, 1057, 929, 917, 0, 
235, 130, 334, 509, 901, 1239, 1730, 2280, 3039, 3570, 4236, 5176, 5955, 6820, 7754, 8774, 9754, 11364, 12115, 13378, 15084, 16308, 17167, 18647, 20171, 21947, 24024, 25172, 26897, 28379, 30179, 32502, 33740, 35233, 38007, 39438, 41651, 43108, 44775, 47401, 48956, 51129, 53909, 56123, 58474, 60829, 62822, 65460, 67328, 70354, 0, 
0, 0, 124, 70, 70, 99, 165, 99, 578, 578, 657, 650, 247, 302, 409, 690, 326, 330, 472, 891, 986, 578, 1012, 579, 1095, 643, 992, 983, 719, 1249, 1198, 1302, 1302, 1264, 1299, 1414, 1402, 1402, 1385, 1415, 1512, 1428, 1474, 1983, 1565, 1602, 2009, 1616, 2071, 1664, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
78, 0, 0, 0, 0, 474, 165, 124, 165, 248, 497, 70, 156, 75, 291, 124, 87, 654, 87, 99, 186, 226, 321, 193, 330, 202, 635, 393, 385, 663, 676, 312, 409, 669, 319, 667, 408, 318, 429, 510, 506, 743, 786, 398, 517, 892, 527, 523, 516, 579, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 55, 0, 0, 0, 0, 62, 0, 0, 0, 165, 82, 0, 0, 0, 0, 497, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 567, 402, 822, 1099, 1339, 1466, 1757, 2233, 2903, 3735, 4211, 4747, 5637, 6495, 7164, 7751, 8828, 9847, 10988, 11766, 12884, 14039, 15276, 16742, 17572, 19007, 20884, 22145, 23608, 25032, 26924, 28269, 30304, 31615, 33847, 35418, 37031, 38784, 40840, 42532, 45539, 46766, 49296, 51694, 53342, 55877, 58718, 60772, 0, 
0, 468, 306, 236, 774, 885, 817, 1459, 1649, 2022, 2743, 3075, 3523, 4485, 5208, 5737, 6376, 7827, 7863, 9221, 9915, 11048, 11769, 12959, 13552, 14767, 16054, 17664, 19153, 20042, 21441, 22848, 24522, 26259, 27739, 28996, 30882, 32379, 35025, 36241, 37566, 38785, 40949, 43264, 45515, 47058, 49305, 51841, 53897, 55854, 0, 
0, 0, 65, 0, 124, 0, 0, 497, 249, 247, 494, 62, 98, 248, 82, 311, 179, 98, 98, 151, 186, 331, 222, 381, 684, 385, 249, 195, 194, 248, 302, 408, 310, 814, 335, 335, 335, 327, 334, 821, 834, 389, 473, 886, 886, 584, 597, 890, 1064, 639, 0, 
0, 117, 409, 1207, 1897, 2211, 2818, 3905, 4984, 5718, 7040, 7947, 9912, 11235, 12822, 14570, 16631, 18490, 20492, 22891, 25224, 27836, 30707, 33006, 35845, 38720, 42118, 44970, 48247, 51370, 55664, 58695, 62069, 65331, 69344, 73900, 78076, 83077, 86803, 90524, 96274, 99855, 105616, 110268, 115257, 119787, 126126, 130705, 137636, 141538, 0, 
